street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Banegårdsgade,Rådhuskvarteret,131.0,11625.0,Skejbygårdsvej,Arresøvej,Sifsgade,Fynsgade,Tulipanhaven,131.2,130.4,131.7,131.7,131.8,Vejlby-Risskov,Vejlby-Risskov,Åby,Ø-gaderne Øst,Tilst,4,"MULTILINESTRING ((574514.9242997199 6223487.527112222, 574534.9369638264 6223482.438148066, 574573.8985781252 6223476.4393691, 574591.7920602476 6223475.239613308), (574591.7920602476 6223475.239613308, 574628.9395888014 6223472.670136317, 574674.077340478 6223470.220634906, 574688.1365050026 6223470.130653221, 574700.6207132669 6223470.570563679, 574710.177646806 6223470.940488382, 574723.4204727454 6223472.670136317, 574749.7906828042 6223478.758896967), (574591.7920602476 6223475.239613308, 574593.4824583284 6223495.665455686))"
Banegårdspladsen,Rådhuskvarteret,127.7,13500.0,M.P. Bruuns Gade,Vesterbrogade,Otte Ruds Gade,Brassøvej,Ivar Huitfeldts Gade,127.7,127.8,127.6,127.6,127.5,Frederiksbjerg Øst,Botanisk Have/Amtssygehuset,Trøjborg,Vejlby-Risskov,Trøjborg,3,"MULTILINESTRING ((574878.937096169 6223508.472848779, 574868.7617243077 6223507.373072634, 574841.0886708501 6223505.46346133, 574831.0534783418 6223503.84379101, 574749.7989286486 6223478.698909177), (574749.7906828042 6223478.758896967, 574748.3476600525 6223490.096589213, 574738.6835305374 6223523.029885735, 574735.3934386633 6223546.155178649, 574735.8057308781 6223551.953998316, 574738.41966352 6223563.531641721), (574749.7906828042 6223478.758896967, 574743.4413826963 6223461.792350459, 574740.8109583658 6223452.134316323, 574741.3964133109 6223440.546674955, 574742.0808183874 6223432.6182887545))"
Bangsboparken,Skødstrup-Løgten,86.0,6500.0,Bredgade,Moltkesvej,Stenhøjgårdsvej,Beder Landevej,Hasselvangen,86.0,87.0,87.0,87.0,87.0,Beder-Malling,Viby,Beder-Malling,Beder-Malling,Solbjerg,1,"MULTILINESTRING ((581965.5228801701 6238212.209945615, 581946.3430463376 6238174.777564868), (582114.615990887 6238139.614722163, 582086.6131036577 6238090.734671556), (582114.7479243958 6238139.884667217, 582135.2553391601 6238178.686769161, 582151.2275395616 6238210.410311926, 582155.6473121042 6238227.806770927), (581931.2943804973 6238224.217501513, 581938.3528232147 6238223.657615475, 581965.5228801701 6238212.209945615), (581965.5228801701 6238212.209945615, 581980.6045293877 6238205.891231772, 582016.59763974 6238189.274614036), (582016.59763974 6238189.274614036, 582065.2151377094 6238165.939363859), (582065.2151377094 6238165.939363859, 582114.615990887 6238139.614722163), (582016.59763974 6238189.274614036, 581993.7566510398 6238147.17318366), (582065.2151377094 6238165.939363859, 582039.9993458521 6238117.529217604), (582016.59763974 6238189.274614036, 582029.5930903505 6238215.279320853), (582065.2151377094 6238165.939363859, 582092.5913407723 6238217.238921982, 582097.7449934573 6238232.395836836))"
Beder Landevej,Beder-Malling,87.0,6450.0,Moltkesvej,Stenhøjgårdsvej,Hasselvangen,Kornbakke Alle,Spørring Kirkevej,87.0,87.0,87.0,88.0,88.0,Viby,Beder-Malling,Solbjerg,Skejby-Christiansbjerg,Trige-Spørring,1,"MULTILINESTRING ((575165.5131688339 6214167.014275655, 575174.3939431407 6214168.923886959, 575182.2522327548 6214170.853494193, 575185.7979458022 6214172.863085147, 575187.1750017996 6214176.0424379995, 575186.8039388063 6214179.951642292, 575185.0063447497 6214182.7010826515, 575179.1847786767 6214189.849627585, 575178.4426526901 6214192.759035384, 575178.549848666 6214196.148345499, 575179.9269046634 6214199.157732948), (575000.0273196565 6213876.913324865, 574994.5768165768 6213878.832934134, 574984.8549661518 6213880.612571894, 574969.6496292698 6213881.112470141, 574950.296632707 6213880.692555614, 574916.068133034 6213880.102675682, 574863.9214137059 6213878.66296873, 574857.6710637294 6213879.59277947, 574847.8667548614 6213882.972091621, 574842.2843182731 6213886.351403771, 574831.8038501728 6213898.518927108, 574828.7611336275 6213903.167980806, 574824.3743444621 6213912.216139079, 574822.255162478 6213918.804797977, 574820.0617678951 6213927.682990846, 574819.0475290468 6213938.070876422, 574818.9650706038 6213948.718709087, 574819.888605165 6213959.116592628, 574821.4965448027 6213967.654854689, 574825.0505036943 6213979.142516409, 574830.4515317082 6213994.189453648, 574838.0624459934 6214008.136614744, 574842.8780190623 6214015.995015189, 574847.0998913419 6214021.823828751, 574854.3727260111 6214029.092349265, 574863.3277129165 6214036.450851463, 574871.5240821468 6214041.859750497, 574877.6919736803 6214044.729166436, 574889.3598433592 6214049.718150943, 574903.0479448906 6214054.357206676, 574920.7930018157 6214058.0764496345, 574938.0350622388 6214060.106036519, 574949.1916895714 6214061.125828942, 574971.3317815062 6214058.416380443, 574991.5918209417 6214053.017479374, 574997.0917990871 6214050.278036979, 575001.2147212351 6214046.498806231, 575005.2304474072 6214041.449833934, 575010.2686582721 6214033.781394823, 575022.8683083565 6214012.555715249, 575033.5796600971 6213996.808920464, 575036.7295726181 6213992.279842344, 575051.2257668907 6213967.994785497, 575059.8096908028 6213954.477536894, 575068.1215018532 6213941.530172292, 575077.3403557763 6213926.633204527, 575090.7398527573 6213903.907830211, 575099.5629061541 6213887.921084267, 575106.4316944527 6213879.622773364), (575094.9947084141 6214619.812109966, 575092.87552643 6214607.864541858), (575092.87552643 6214607.864541858, 575089.7256139088 6214586.088974212, 575087.6146777691 6214570.962053253, 575086.4355220348 6214557.674757844, 575085.6109376051 6214543.437655765, 575085.1409244803 6214526.84103396, 575085.2481204561 6214505.125454103, 575086.7653558066 6214469.572690765, 575088.4722455759 6214456.975254937, 575091.6139122527 6214434.609807359, 575095.3905089403 6214411.354540901, 575101.9212176227 6214380.440833297), (575101.9212176227 6214380.440833297, 575110.0928493201 6214355.675874133, 575119.5178493506 6214328.781348435, 575132.9668213974 6214292.328768252, 575139.4975300799 6214272.592785455, 575146.2921057798 6214251.60705704, 575158.1826132548 6214204.716601456, 575163.0476613893 6214181.801265806, 575165.5131688339 6214167.014275655), (575165.5131688339 6214167.014275655, 575166.9891749629 6214158.655976963), (575166.9891749629 6214158.655976963, 575169.3474864316 6214139.209935148, 575171.5656185471 6214113.975071632, 575172.6293324614 6214097.688386739, 575173.6270796212 6214079.012188226, 575174.262009632 6214056.156840365, 575173.7919965071 6214034.881170967, 575172.728282593 6214012.8756501265, 575171.1450804881 6213989.810345003, 575169.9824164424 6213976.483057734, 575167.0221583401 6213954.787473807, 575162.4704522886 6213929.61259808, 575156.3355441324 6213902.518113084, 575138.3183743455 6213840.340769103, 575114.9331599219 6213762.126689353, 575102.8859814054 6213719.535358694, 575079.1049664556 6213639.191712412, 575049.9394151805 6213539.042097576, 575034.0661649106 6213482.143679084, 574999.1285226282 6213364.957531986, 574985.8774508444 6213326.925273342, 574984.2860028953 6213321.046469956, 574962.1211734276 6213264.108059605, 574941.6220045076 6213208.909295154, 574915.3342528917 6213138.9635324115), (574915.3342528917 6213138.9635324115, 574890.8770787097 6213074.656621897, 574854.7932640702 6212977.346429105, 574838.8787845788 6212936.754691436, 574815.9965666572 6212875.077245701, 574795.40669345 6212820.318391708, 574771.6339243444 6212756.051473053, 574735.1130799573 6212658.711286367, 574716.7330930213 6212609.591284601, 574689.3898733357 6212537.875882064, 574635.3053805978 6212390.685842171, 574601.2417978109 6212295.755165036, 574591.635389206 6212269.790450078, 574574.1377076098 6212220.040576521, 574569.6437224684 6212208.212983994), (574915.3342528917 6213138.9635324115, 574957.7426301063 6213122.1469553765), (575120.0785667626 6213779.933064916, 575108.3529761736 6213782.81247882, 575092.4962175924 6213783.74228956, 575077.9010731884 6213783.462346542, 575073.9265762377 6213783.2423913125), (575339.9375132283 6214168.5139703965, 575331.8153565966 6214163.694951294, 575323.1737117744 6214157.45622117, 575316.7749366006 6214152.367257014, 575313.831170187 6214150.307676235, 575311.8026924902 6214148.907961143, 575296.4406845666 6214139.699835431, 575288.2443153363 6214134.880816328, 575279.3140659637 6214130.021805366, 575265.0157719543 6214122.463343869, 575262.3193808695 6214120.983645057, 575259.8043983593 6214119.853875019, 575253.2407062995 6214117.214412274, 575245.3741708412 6214114.614941388, 575237.4664061612 6214112.525366715, 575231.0099100774 6214111.365602782, 575225.5016860877 6214110.83571064, 575220.7438339288 6214111.895494924, 575216.1921278774 6214115.064849811, 575213.75960381 6214119.194009332, 575207.6246956538 6214139.929788625, 575205.8271015973 6214145.11873243, 575202.8585976507 6214151.147505291, 575199.0490175859 6214155.586601726, 575191.9658373357 6214160.035696125, 575185.0888031927 6214162.1452667285, 575178.632307109 6214162.1452667285, 575166.9891749629 6214158.655976963), (575101.9212176227 6214380.440833297, 575094.2525824275 6214378.0513196755, 575085.4542665635 6214373.272292432, 575078.1649402059 6214368.49326519, 575071.3786103502 6214363.2143397, 575065.4745858342 6214358.3153368775, 575058.9356313074 6214353.536309635, 575051.2669961121 6214347.637510318, 575047.7460205978 6214343.608330446, 575044.1013574188 6214338.4593785005, 575032.1613748781 6214313.94436846), (575092.87552643 6214607.864541858, 575107.7098003186 6214607.234670067, 575118.7674775196 6214606.104900029, 575141.7651372612 6214605.854950905, 575183.7447305724 6214605.475028237, 575224.0916467131 6214605.355052658, 575240.3029765991 6214605.355052658, 575251.9955838108 6214606.234873573, 575264.4385628536 6214608.624387194, 575278.1349102294 6214612.513595557, 575295.7315419571 6214617.922494591, 575304.4061701566 6214619.802112001, 575314.9608508555 6214621.691727375, 575330.1744335818 6214623.4513692055, 575346.1383881388 6214625.840882827, 575366.8684406992 6214629.730091189, 575385.7266866042 6214632.749476602, 575399.42303398 6214634.509118432, 575410.4889570252 6214635.388939347, 575417.7700375386 6214635.518912892, 575425.941669236 6214635.00901668, 575435.4986027752 6214633.629297517, 575450.0772554906 6214631.119808316, 575459.2548801921 6214630.609912104, 575471.6978592349 6214630.739885649, 575486.9031961168 6214632.749476602, 575497.4578768157 6214634.389142853, 575502.4878418363 6214634.009220185, 575507.5178068569 6214632.499527479, 575512.4158383687 6214629.860064734, 575516.6954315584 6214626.340781074, 575520.084473564 6214622.071650043, 575525.6174350868 6214601.205897206), (575148.6504172485 6213876.323444934, 575135.6137374165 6213879.142871047, 575123.5170838342 6213880.082679752, 575106.4316944527 6213879.622773364), (575106.4316944527 6213879.622773364, 575010.1861998292 6213877.3832292175, 575000.0273196565 6213876.913324865))"
Bergensgade,Skejby-Christiansbjerg,180.0,6500.0,Lollandsgade,Søgade,Helga Pedersens Gade,Ny Munkegade,Fredensgade,180.0,181.5,181.8,182.7,183.5,Vestervang/Klostervang/Ø-gaderne,Rådhuskvarteret,De Bynære Havnearealer/Aarhus Ø,Ø-gaderne Øst,Fredens Torv,1,"MULTILINESTRING ((574529.5854108782 6226258.073175584, 574516.6806645549 6226177.659543546), (574529.5854108782 6226258.073175584, 574531.1851046716 6226268.061142562, 574503.1904632866 6226339.916516609, 574486.8224623589 6226381.86797751, 574484.6455594647 6226386.457043419, 574483.1283241143 6226387.626805317))"
Bernhardt Jensens Boulevard,De Bynære Havnearealer/Aarhus Ø,133.3,12166.666666666666,Skovmærkevej,Skejbytoften,Torsøvej,Lokesvej,Langelandsgade,133.5,133.5,133.1,133.8,132.8,Vejlby-Risskov,Skejby-Christiansbjerg,Vejlby-Risskov,Åby,Vestervang/Klostervang/Ø-gaderne,3,"LINESTRING (576313.639791083 6225372.4534409195, 576275.6841697883 6225331.15184774, 576262.7711776206 6225317.094709029, 576228.8477741868 6225281.9318663245, 576176.9896594089 6225231.462139291, 576118.69978608 6225173.1340118125, 576089.6414307808 6225144.62981376, 576071.0635435818 6225125.29374956, 576028.1439240208 6225082.622435182, 576020.4917805141 6225074.8440184565, 575949.9155991842 6225004.448347292, 575813.5953012819 6224866.046518584, 575720.0214602103 6224775.075035566, 575630.3891327123 6224687.622836209, 575545.4981656845 6224608.558929438, 575532.7995654686 6224595.471593328, 575522.0222469736 6224586.433433019, 575513.5537648816 6224581.234491249, 575499.4121419139 6224574.645832351, 575483.5718750211 6224570.816611778, 575468.5149633365 6224569.136953668, 575455.7091671447 6224569.356908896, 575428.2092764175 6224573.256115224)"
Bissensgade,Ceresbyen/Godsbanen,130.0,10153.75,Hjortensgade,Eckersbergsgade,Guldsmedgade,Harald Selmers Vej,Mejlgade,130.0,130.0,130.2,129.7,129.7,Botanisk Have/Amtssygehuset,Rådhuskvarteret,Nørregade,Vejlby-Risskov,Latinerkvarteret,4,"LINESTRING (574407.4314734766 6223934.546122796, 574323.4640410099 6223998.263153378, 574285.5991240024 6224026.777349397)"
Borggade,Nørregade,146.0,11720.0,Trygsvej,Søren Frichs Vej,Kongevellen,Kantorvænget,Sonnesgade,146.0,146.2,146.3,146.5,146.6,Åby,Åby,Vejlby-Risskov,Vejlby-Risskov,Rådhuskvarteret,10,"LINESTRING (575072.8133872577 6224432.224821736, 575073.0855001195 6224446.911832238, 575074.9408150861 6224510.8688139785, 575075.7324161385 6224565.987594711, 575075.5592534083 6224579.634816858, 575073.9595596149 6224588.503011762, 575073.0030416765 6224593.641965743)"
Borresøvej,Vejlby-Risskov,105.0,9102.851063829787,Fuglekærvej,Haslevej,Havnegade,Kystvejen,J.P. Larsens Vej,105.0,105.0,105.0,105.2,105.4,Hasselager-Kolt,Åby,Skolegade/Bispetorv/Europaplads,Østbanetorvet/Nørre Stenbro,Brabrand-Gellerup,47,"MULTILINESTRING ((576708.285899092 6229472.128963823, 576637.5777842533 6229461.4411392985, 576635.2359644732 6229465.170380223, 576632.028331042 6229471.059181574, 576629.8844115251 6229480.157329672, 576622.1250720426 6229531.266926462, 576621.0201289068 6229537.395678972, 576619.2555182275 6229539.975153928, 576616.2292933709 6229541.5048425635, 576609.7645514427 6229543.0845210245, 576568.8734095787 6229552.402624352), (576568.8734095787 6229552.402624352, 576474.632134864 6229576.6295750495), (576474.632134864 6229576.6295750495, 576455.4270837536 6229581.566688091, 576449.5148133934 6229583.016393008, 576442.8934004236 6229583.40631364), (576623.3866862198 6229501.642956335, 576610.3335146991 6229499.9832941545), (576610.3335146991 6229499.9832941545, 576615.7015593359 6229463.330754673, 576534.8428101689 6229451.323198777), (576610.3335146991 6229499.9832941545, 576606.3012968384 6229526.337929745, 576504.4568739379 6229553.162469687), (576504.4568739379 6229553.162469687, 576450.4465937988 6229567.859478154, 576446.6864887998 6229568.859274648, 576443.0500714652 6229567.979453733, 576413.2908194008 6229556.011889696), (576413.2908194008 6229556.011889696, 576380.7692094971 6229541.664810003, 576415.467722295 6229461.011226807), (576508.0932912724 6229567.859478154, 576504.4568739379 6229553.162469687), (576407.337319819 6229568.729301103, 576413.2908194008 6229556.011889696), (576535.6591487542 6229560.960882343, 576544.3090394207 6229592.544453599), (576474.6316551191 6229576.627693409, 576474.632134864 6229576.6295750495), (576474.632134864 6229576.6295750495, 576482.7785492836 6229608.581189367), (576568.8734095787 6229552.402624352, 576578.7684227339 6229595.043944834), (576491.8159946321 6229500.483192402, 576504.4568739379 6229553.162469687))"
Brabrand Skovvej,Brabrand-Gellerup,116.0,8400.0,Chr. Richardts Vej,Strandvejen,Studsgade,Nørregade,Kalmargade,116.0,116.0,116.0,116.0,116.0,Vestervang/Klostervang/Ø-gaderne,Frederiksbjerg Øst,Latinerkvarteret,Ø-gaderne Øst,Skejby-Christiansbjerg,1,"MULTILINESTRING ((569791.4573116135 6223471.890295051, 569791.8366204512 6223466.751341071, 569792.7271716351 6223461.882332143, 569794.8793369964 6223456.743378162, 569798.293116535 6223451.78438755, 569803.7683571476 6223446.125539393, 569811.1236502596 6223441.096563026, 569817.0194289313 6223438.1071715085, 569826.8649670208 6223434.607883778, 569836.5290965358 6223432.278357946, 569848.0815243945 6223430.438732397, 569856.1624518046 6223428.679090567, 569865.224634686 6223425.169804872, 569875.7215944749 6223418.181227377, 569894.1180730993 6223405.38383225, 569914.7244379952 6223392.336487999, 569937.0706760375 6223379.169168169, 569946.6276095766 6223376.069799037), (569946.6276095766 6223376.069799037, 569949.7610304091 6223375.289957771, 569996.886030561 6223355.723940377, 570016.9316780447 6223346.805755648, 570035.0972730289 6223337.847579058, 570038.5275442561 6223336.007953509), (570038.5275442561 6223336.007953509, 570059.1668925291 6223325.010192072, 570070.4389616818 6223317.751669523, 570121.2828376113 6223283.558629417, 570137.4364465872 6223272.490882225, 570156.7482139285 6223261.043212365, 570177.8328377935 6223250.435371561, 570191.3477765948 6223245.086460316, 570203.5681178415 6223241.037284514, 570217.6850032763 6223237.028100572, 570225.7659306865 6223235.418428216, 570236.8483454203 6223233.418835227, 570257.5619062921 6223230.579413184, 570288.170480319 6223230.159498656, 570318.4327288854 6223233.158888139, 570329.9026983012 6223235.60838955, 570342.4611191641 6223238.517797348, 570365.821596055 6223245.346407404, 570448.9232148705 6223270.081372674, 570553.5135039216 6223302.584756704), (569946.6276095766 6223376.069799037, 569953.4386769651 6223390.786803433, 569966.0960479595 6223418.441174465), (570038.5275442561 6223336.007953509, 570042.1062406806 6223345.6559896795, 570062.9764725938 6223390.546852274))"
Brassøvej,Vejlby-Risskov,127.6,8497.919191919193,Otte Ruds Gade,Ivar Huitfeldts Gade,Banegårdspladsen,M.P. Bruuns Gade,Vesterbrogade,127.6,127.5,127.7,127.7,127.8,Trøjborg,Trøjborg,Rådhuskvarteret,Frederiksbjerg Øst,Botanisk Have/Amtssygehuset,99,"MULTILINESTRING ((576637.5777842533 6229461.4411392985, 576635.8626486397 6229456.842075425, 576635.4750939579 6229452.602938289, 576635.4750939579 6229445.194446267, 576638.3611394615 6229425.618430908), (576638.3611394615 6229425.618430908, 576639.8866206562 6229415.260539226), (576639.8866206562 6229415.260539226, 576644.9578148983 6229380.877537787), (576644.9578148983 6229380.877537787, 576646.6976880447 6229369.1099330485, 576644.8341272338 6229365.230722651, 576641.8903608202 6229362.441290432, 576637.3963756788 6229361.5114796925, 576631.665513893 6229361.361510218, 576510.1629981907 6229380.107694486), (576510.1629981907 6229380.107694486, 576452.9698221533 6229388.16605423, 576446.9256182844 6229389.405801884, 576444.4518649955 6229393.2850122815, 576415.467722295 6229461.011226807), (576510.1629981907 6229380.107694486, 576515.9763184194 6229434.736574936), (576639.8866206562 6229415.260539226, 576623.8402076561 6229412.651070376), (576623.8402076561 6229412.651070376, 576631.0470755709 6229370.349680702), (576623.8402076561 6229412.651070376, 576615.7015593359 6229463.330754673), (576644.9578148983 6229380.877537787, 576658.4067869452 6229383.0670921095, 576660.1878893131 6229385.446607766, 576660.072447493 6229388.645956548, 576654.4900109045 6229427.817983195), (576638.3611394615 6229425.618430908, 576654.4900109045 6229427.817983195), (576654.4900109045 6229427.817983195, 576652.1152077473 6229449.183634278))"
Bredgade,Beder-Malling,86.0,8650.0,Bangsboparken,Stenhøjgårdsvej,Moltkesvej,Hasselvangen,Beder Landevej,86.0,87.0,87.0,87.0,87.0,Skødstrup-Løgten,Beder-Malling,Viby,Solbjerg,Beder-Malling,1,"MULTILINESTRING ((574034.6863279179 6210390.073061117, 574045.7934801846 6210384.1442679055, 574050.0895650629 6210382.074689162, 574058.6734889752 6210378.805354626, 574073.8870717013 6210374.706188999, 574091.5991452492 6210370.21710274), (574569.6437224684 6212208.212983994, 574561.7606953214 6212188.367023582, 574552.3109577581 6212168.141140501, 574545.0051397119 6212152.654292804, 574524.0277118227 6212117.271494871, 574511.3208657624 6212093.146405463, 574484.0106294539 6212048.575477746, 574426.7679783507 6211949.085728597, 574413.6818234529 6211926.58030951, 574408.1241243974 6211916.712318111, 574402.9292424909 6211907.024290081, 574398.3033238408 6211896.826365839, 574395.3265740499 6211887.708221811, 574392.7291330966 6211878.880018766, 574389.9750211018 6211868.192194242, 574388.1609353566 6211856.4845772935, 574386.7426501377 6211843.737171991, 574385.4068233618 6211817.752461104, 574383.6669502154 6211765.273143117, 574381.8363727815 6211709.734447858, 574379.1234900082 6211649.786650059, 574376.0972651516 6211560.144896379, 574373.6235118627 6211501.136907284, 574372.6422563915 6211471.482943263, 574371.8589011834 6211437.989760703, 574367.9916002086 6211334.02092326, 574366.4331356366 6211298.928066309, 574366.0538267989 6211278.722179159, 574362.7554890806 6211202.657661871, 574359.2922344762 6211096.309308771, 574358.4841417352 6211082.212178201, 574354.4436780302 6210968.255373779, 574353.9901565938 6210957.6975227995, 574353.7922563307 6210949.149262773, 574352.6708215064 6210940.241076008, 574350.9886692701 6210931.152925875, 574348.7622913101 6210921.694851039, 574345.5711495676 6210910.777073321, 574340.8545266303 6210899.2394217765, 574333.8950340444 6210885.162287137, 574317.3786079193 6210857.497918139, 574295.947658594 6210822.625016417, 574254.2566698331 6210753.719042029, 574229.354220059 6210712.917347096, 574210.9494955903 6210681.963647632, 574141.0659651812 6210566.637122013, 574111.5788259786 6210517.607101931, 574083.0317130256 6210470.2867338555, 574048.2672334735 6210412.528490379, 574044.408178343 6210406.009817236, 574034.6863279179 6210390.073061117), (574034.6863279179 6210390.073061117, 574025.3437863304 6210374.616207315, 573996.4338562285 6210324.376433475, 573985.0298535671 6210303.560670463, 573937.5832654876 6210218.09806613, 573918.5765943852 6210184.494905956, 573868.5243195082 6210094.543215362, 573829.1256754617 6210023.297717177, 573825.7201417674 6210017.308936176, 573821.7538906609 6210011.300159246, 573815.5612615946 6210003.681709959, 573809.945841629 6209997.8229025025, 573802.8296780016 6209991.584172377, 573796.0515939902 6209986.745157345, 573785.7030593987 6209981.056315293, 573780.4257190492 6209978.596815917, 573768.9969788549 6209975.207505801), (574356.4061889725 6211023.804067004, 574347.8552484376 6211023.35415858, 574339.7083542731 6211021.784478085, 574330.5059920386 6211017.575334843, 574321.3118756486 6211012.316405283, 574306.5930435802 6211007.057475723, 574303.1710181973 6211006.797528635), (574247.066293607 6210742.19138845, 574213.3985113462 6210762.0573447915, 574202.3490799895 6210769.175895831))"
Brendstrupgårdsvej,Skejby-Christiansbjerg,129.5,8420.0,Ny Banegårdsgade,Harald Selmers Vej,Mejlgade,Tordenskjoldsgade,Bissensgade,129.3,129.7,129.7,129.2,130.0,Rådhuskvarteret,Vejlby-Risskov,Latinerkvarteret,Trøjborg,Ceresbyen/Godsbanen,8,"MULTILINESTRING ((573576.7451190924 6228153.067454979, 573594.836501478 6228119.43430091, 573614.1730063523 6228082.121895742, 573651.3700099717 6228003.25794827), (573651.3700099717 6228003.25794827, 573664.5303774682 6227977.573176332), (573669.2387545613 6228197.62838473, 573576.7451190924 6228153.067454979), (573576.7451190924 6228153.067454979, 573543.1762869633 6228138.230475003, 573480.0955780984 6228109.58630544, 573455.7043706707 6228098.618537898, 573335.7850570733 6228042.83989148, 573320.2828697967 6228035.381409633, 573309.4725679246 6228029.942516703, 573291.0513517673 6228018.994745091, 573273.4877034166 6228005.687453751, 573265.0851880789 6227998.638888466, 573255.0499955707 6227989.290791245, 573242.9945712099 6227976.633367627, 573231.2030138664 6227962.226300144, 573221.7120470818 6227948.7490434, 573211.5779044419 6227933.112226229, 573195.3335911786 6227897.489477137, 573187.8711020907 6227881.652700667, 573185.5705115321 6227877.293587952, 573166.7864782257 6227840.271123767, 573156.8997109148 6227823.04463017, 573143.063184186 6227808.647560652, 573122.1682147398 6227792.830780112, 573098.4449207 6227782.122959658, 573079.6526415494 6227775.074394373, 573043.9398899032 6227769.905446497), (573651.3700099717 6228003.25794827, 573591.8597516872 6227974.693762428), (573591.8597516872 6227974.693762428, 573609.8109547197 6227938.791070317), (573591.8597516872 6227974.693762428, 573562.7519213221 6228034.801527666))"
Brendstrupvej,Skejby-Christiansbjerg,118.6,8525.714285714286,Sønderport,Islandsgade,Emiliehøj,Skanderborgvej,Skolebakken,118.5,118.7,118.4,118.2,119.0,Viby,Skejby-Christiansbjerg,Holme-Højbjerg-Skåde,Viby,Latinerkvarteret,7,"MULTILINESTRING ((573494.8144101669 6226477.428526437, 573478.3721966406 6226474.569108463, 573473.9936533194 6226475.198980254, 573428.7651973555 6226488.706230892), (573471.1076078158 6226476.098797099, 573457.1638851111 6226499.094116468, 573454.4674940263 6226502.023520197, 573450.55896383 6226503.863145746, 573446.0319953115 6226504.103096905, 573441.9915316064 6226502.633396058, 573439.1796987015 6226499.454043206, 573437.2254336033 6226496.154714775, 573435.2711685051 6226486.8566073775), (574680.9791121538 6226128.769494974, 574664.1988190112 6226132.508733863, 574648.5069773159 6226141.676867716, 574637.7956255752 6226143.896415933, 574590.4809710046 6226157.363674711, 574516.6806645549 6226177.659543546, 574419.4786519931 6226205.763823002, 574413.822002806 6226207.343501463, 574332.0149815448 6226230.69874757, 574327.9003052411 6226231.998483012), (574327.9003052411 6226231.998483012, 574236.8084633027 6226258.323124708, 574178.6010484168 6226274.809768898, 574137.1574349849 6226286.437402127, 574041.4231827077 6226313.511891194, 574034.941949091 6226315.191549304, 573958.956493903 6226336.98711288, 573872.3009161957 6226361.532116815, 573772.1881205974 6226389.976327078), (573772.1881205974 6226389.976327078, 573675.8519216867 6226417.4207408475, 573604.0388637123 6226438.206509965), (573604.0388637123 6226438.206509965, 573592.0164227288 6226441.705797695, 573549.129786545 6226453.943306785), (573549.129786545 6226453.943306785, 573513.1036928155 6226464.091241202, 573505.4515493088 6226467.320583879, 573499.662966613 6226472.009629438, 573494.8144101669 6226477.428526437), (573494.8144101669 6226477.428526437, 573491.6562518015 6226483.597270806, 573465.0551581024 6226543.425093026), (573604.0388637123 6226438.206509965, 573619.1122670856 6226492.58544129), (573549.129786545 6226453.943306785, 573555.4378574315 6226489.356098614, 573562.9663132738 6226530.36775081), (574327.9003052411 6226231.998483012, 574313.5937653875 6226177.529570002), (573772.1881205974 6226389.976327078, 573786.659577337 6226444.015327596))"
