website,year,rental_type,rent_without_expenses,square_meters,zip_code,street,area,rooms
Site A,2016,apartment,7234,56,8240,Engholms Allé,Risskov,2
Site A,2016,apartment,17442,140,8000,Thit Jensens Gade,Aarhus C,5
Site A,2016,room,3400,14,8200,Rødkløvervej,Aarhus N,1
Site A,2016,room,2800,14,8200,Jens Baggesens Vej,Aarhus N,1
Site A,2016,room,3300,16,8210,Præstehaven,Aarhus V,1
Site A,2016,apartment,11000,99,8000,Jægergårdsgade,Aarhus C,3
Site A,2016,apartment,7687,60,8000,Ankersgade,Aarhus C,2
Site A,2016,apartment,3200,32,8260,Damagervej,Viby J,1
Site A,2016,room,4225,15,8000,Borggade,Aarhus C,1
Site A,2016,apartment,11150,109,8000,P. P. Ørums Gade,Aarhus C,3
Site A,2016,apartment,30000,270,8000,Vestergade,Aarhus C,5
Site A,2016,apartment,16600,89,8000,Sandgravvej,Aarhus C,3
Site A,2016,apartment,9400,66,8000,Sandgravvej,Aarhus C,3
Site A,2016,apartment,8350,72,8000,Frederiks Allé,Aarhus C,3
Site A,2016,apartment,9150,66,8000,Sandgravvej,Aarhus C,3
Site A,2016,apartment,9950,71,8000,Sandgravvej,Aarhus C,3
Site A,2016,apartment,9000,67,8000,Sandgravvej,Aarhus C,3
Site A,2016,apartment,8500,62,8000,Sandgravvej,Aarhus C,3
Site A,2016,room,4636,11,8000,Åhusene,Aarhus C,1
Site A,2016,apartment,5500,49,8270,Oddervej,Højbjerg,2
Site A,2016,apartment,5990,45,8000,Teglværksgade,Aarhus C,1
Site A,2016,room,4000,18,8000,Assensgade,Aarhus C,1
Site A,2016,apartment,3800,27,8230,Dr. Holsts Vej,Åbyhøj,1
Site A,2016,room,3250,11,8000,Skanderborgvej,Aarhus C,1
Site A,2016,room,3900,10,8000,Christiansgade,Aarhus C,1
Site A,2016,room,4200,11,8000,Frederiks Allé,Aarhus C,1
Site A,2016,apartment,11900,90,8000,Havnegade,Aarhus C,2
Site A,2016,apartment,4584,50,8000,Vestergade,Aarhus C,2
Site A,2016,apartment,5400,61,8000,Silkeborgvej,Aarhus C,2
Site A,2016,room,3900,25,8000,Søndre Ringgade,Aarhus C,1
Site A,2016,apartment,6785,59,8260,Onsholtvej,Viby J,2
Site A,2016,apartment,6875,75,8250,Kildehaven,Egå,2
Site A,2016,room,5600,12,8240,Grenåvej,Risskov,1
Site A,2016,apartment,7713,70,8000,Kirkegårdsvej,Aarhus C,2
