web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829055-84,https://boligzonen.dk/lejebolig/aarhus,3.500,"Hammershusvej, Aarhus V",Værelse / 1 vær. / 26 m2
1684829055-85,https://boligzonen.dk/lejebolig/aarhus,13.200,"Frederiksgade, Aarhus C",Lejlighed / 4 vær. / 145 m2
1684829055-86,https://boligzonen.dk/lejebolig/aarhus,9.795,"Amaliegade, Aarhus C",Lejlighed / 2 vær. / 59 m2
1684829055-87,https://boligzonen.dk/lejebolig/aarhus,6.307,"Eya Jensens Gade, Risskov",Lejlighed / 2 vær. / 50 m2
1684829055-88,https://boligzonen.dk/lejebolig/aarhus,7.995,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 57 m2
1684829055-89,https://boligzonen.dk/lejebolig/aarhus,12.800,"Thit Jensens Gade, Aarhus C",Lejlighed / 4 vær. / 96 m2
1684829055-90,https://boligzonen.dk/lejebolig/aarhus,4.000,"Vesterbro Torv, Aarhus C",Værelse / 1 vær. / 14 m2
1684829059-91,https://boligzonen.dk/lejebolig/aarhus,6.900,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 52 m2
1684829059-92,https://boligzonen.dk/lejebolig/aarhus,5.300,"Gøteborg Allé, Aarhus N",Lejlighed / 1 vær. / 31 m2
1684829059-93,https://boligzonen.dk/lejebolig/aarhus,9.900,"Carl Bertelsens Gade, Aarhus C",Lejlighed / 3 vær. / 90 m2
1684829059-94,https://boligzonen.dk/lejebolig/aarhus,8.500,"Vestergade, Aarhus C",Lejlighed / 2 vær. / 60 m2
1684829059-95,https://boligzonen.dk/lejebolig/aarhus,10.950,"Fåborggade, Aarhus C",Lejlighed / 3 vær. / 100 m2
1684829059-96,https://boligzonen.dk/lejebolig/aarhus,8.300,"Vester Allé, Aarhus C",Lejlighed / 2 vær. / 66 m2
1684829059-97,https://boligzonen.dk/lejebolig/aarhus,9.880,"Rødbedevej, Aarhus N",Hus / 3 vær. / 88 m2
1684829059-98,https://boligzonen.dk/lejebolig/aarhus,7.595,"Vesterbrogade, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829059-99,https://boligzonen.dk/lejebolig/aarhus,8.840,"Engtoften, Viby J",Lejlighed / 3 vær. / 76 m2
1684829059-100,https://boligzonen.dk/lejebolig/aarhus,8.995,"Thorvaldsensgade, Aarhus C",Lejlighed / 2 vær. / 65 m2
1684829059-101,https://boligzonen.dk/lejebolig/aarhus,7.500,"Damagervej, Viby J",Lejlighed / 2 vær. / 49 m2
1684829059-102,https://boligzonen.dk/lejebolig/aarhus,13.500,"Ålborggade, Aarhus C",Lejlighed / 4 vær. / 109 m2
1684829059-103,https://boligzonen.dk/lejebolig/aarhus,7.495,"Silkeborgvej, Åbyhøj",Lejlighed / 3 vær. / 82 m2
1684829059-104,https://boligzonen.dk/lejebolig/aarhus,9.308,"Lerdalen, Højbjerg",Lejlighed / 3 vær. / 87 m2
