web-scraper-order,price,address,kvm,rooms
1684834100-120,"7.777,- pr. mdr.","Eya Jensens Gade, Risskov",64 m²,2 vær.
1684834100-121,"11.000,- pr. mdr.","Åboulevarden, Århus C",64 m²,3 vær.
1684834100-122,"9.935,- pr. mdr.","Enghavevej, Viby J",88 m²,3 vær.
1684834100-123,"5.895,- pr. mdr.","Arresøvej, Risskov",450 m²,2 vær.
1684834100-124,"2.810,- pr. mdr.","Emiliehøj, Højbjerg",18 m²,1 vær.
1684834100-125,"7.695,- pr. mdr.","Borresøvej, Åbyhøj",580 m²,2 vær.
1684834100-126,"10.590,- pr. mdr.","Broloftet, Risskov",97 m²,3 vær.
1684834100-127,"9.880,- pr. mdr.","Rødbedevej, Århus N",88 m²,3 vær.
1684834100-128,"9.975,- pr. mdr.","Arresøvej, Risskov",78 m²,3 vær.
1684834100-129,"10.547,- pr. mdr.","Olof Palmes Allé, Århus N",89 m²,3 vær.
1684834100-130,"15.600,- pr. mdr.","Guldsmedgade, Århus C",142 m²,8 vær.
1684834100-131,"13.300,- pr. mdr.","Vindrosen, Risskov",121 m²,3 vær.
1684834100-132,"11.485,- pr. mdr.","Katrinebjergvej, Århus N",86 m²,3 vær.
1684834100-133,"8.200,- pr. mdr.","Finderupvej, Århus C",61 m²,2 vær.
1684834100-134,"8.600,- pr. mdr.","Arresøvej, Risskov",76 m²,3 vær.
1684834100-135,"6.200,- pr. mdr.","Vestergade, Århus C",44 m²,1 vær.
1684834100-136,"11.305,- pr. mdr.","Ellen Jensens Gade, Risskov",88 m²,3 vær.
1684834100-137,"12.019,- pr. mdr.","Engtoften, Viby J",107 m²,4 vær.
1684834100-138,"12.500,- pr. mdr.","Engtoften, Viby J",128 m²,4 vær.
1684834100-139,"7.695,- pr. mdr.","Søren Frichs Vej, Åbyhøj",52 m²,2 vær.
1684834100-140,"11.860,- pr. mdr.","Tommy Seebachs Gade, Århus C",84 m²,3 vær.
1684834100-141,"8.599,- pr. mdr.","Paradisgade, Århus C",53 m²,1 vær.
1684834100-142,"6.695,- pr. mdr.","Egelunden Type G, Århus V",45 m²,2 vær.
1684834100-143,"14.060,- pr. mdr.","Tommy Seebachs Gade, Århus C",111 m²,4 vær.
1684834100-144,"8.975,- pr. mdr.","Engtoften, Viby J",79 m²,3 vær.
1684834100-145,"9.027,- pr. mdr.","Engtoften, Viby J",78 m²,3 vær.
1684834100-146,"12.600,- pr. mdr.","Kværnloftet, Risskov",114 m²,4 vær.
1684834100-147,"7.644,- pr. mdr.","Eya Jensens Gade, Risskov",60 m²,2 vær.
1684834100-148,"10.055,- pr. mdr.","Engtoften, Viby J",85 m²,3 vær.
1684834100-149,"9.969,- pr. mdr.","Eya Jensens Gade, Risskov",85 m²,4 vær.
1684834100-150,"10.500,- pr. mdr.","Engtoften, Viby J",77 m²,2 vær.
1684834100-151,"9.900,- pr. mdr.","Engtoften, Viby J",83 m²,3 vær.
1684834100-152,"4.900,- pr. mdr.","Christian X's Vej, Viby J",30 m²,1 vær.
1684834100-153,"9.300,- pr. mdr.","Lokesvej, Åbyhøj",73 m²,2 vær.
1684834100-154,"10.900,- pr. mdr.","Baldersgade, Åbyhøj",95 m²,3 vær.
1684834100-155,"10.490,- pr. mdr.","Broloftet, Risskov",92 m²,3 vær.
1684834100-156,"7.100,- pr. mdr.","Arresøvej, Risskov",51 m²,2 vær.
1684834100-157,"8.098,- pr. mdr.","Katrinebjergvej, Århus N",56 m²,1 vær.
1684834100-158,"9.112,- pr. mdr.","Engholms Alle, Risskov",89 m²,3 vær.
1684834100-159,"8.395,- pr. mdr.","Abildhaven, Lystrup",85 m²,3 vær.
1684834100-160,"8.395,- pr. mdr.","Abildhaven, Lystrup",84 m²,3 vær.
1684834100-161,"13.375,- pr. mdr.","Tove Ditlevsens Gade, Risskov",113 m²,4 vær.
1684834100-162,"12.000,- pr. mdr.","Borggade, Århus C",87 m²,1 vær.
1684834100-163,"11.296,- pr. mdr.","Katrinebjergvej, Århus N",86 m²,3 vær.
1684834100-164,"5.950,- pr. mdr.","Vestre Strandallé, Risskov",35 m²,1 vær.
1684834100-165,"7.700,- pr. mdr.","Ringen, Århus N",65 m²,2 vær.
1684834100-166,"9.000,- pr. mdr.","Stockholmsgade, Århus N",68 m²,2 vær.
