web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-109","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.915,- pr. mdr.","Orla Lehmanns Allé, Århus C","92 m²","3 vær."
"1684834100-110","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-111","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.000,- pr. mdr.","Kværnloftet, Risskov","82 m²","2 vær."
"1684834100-112","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.851,- pr. mdr.","Katrinebjergvej, Århus N","78 m²","3 vær."
"1684834100-113","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.995,- pr. mdr.","Engtoften, Viby J","112 m²","4 vær."
"1684834100-114","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.590,- pr. mdr.","Eya Jensens Gade, Risskov","61 m²","3 vær."
"1684834100-115","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.915,- pr. mdr.","Orla Lehmanns Allé, Århus C","92 m²","3 vær."
"1684834100-116","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.900,- pr. mdr.","Vestre Strandallé, Risskov","128 m²","3 vær."
"1684834100-117","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.724,- pr. mdr.","Eya Jensens Gade, Risskov","60 m²","2 vær."
"1684834100-118","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.150,- pr. mdr.","Fiskergade, Århus C","102 m²","4 vær."
"1684834100-119","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","15.326,- pr. mdr.","Orla Lehmanns Allé, Århus C","157 m²","4 vær."
"1684834100-120","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.777,- pr. mdr.","Eya Jensens Gade, Risskov","64 m²","2 vær."
