web-scraper-order,price,address,type_rooms_kvm
1684829180-552,5.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 41 m2
1684829180-553,7.100,"Arresøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829180-554,10.500,"Bytoften, Risskov",Lejlighed / 1 vær. / 88 m2
1684829180-555,10.995,"Møllehatten, Risskov",Lejlighed / 4 vær. / 85 m2
1684829184-556,7.100,"Arresøvej, Risskov",Lejlighed / 2 vær. / 51 m2
1684829184-557,5.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 41 m2
1684829184-558,4.950,"Vestre Strandallé, Risskov",Lejlighed / 1 vær. / 33 m2
1684829184-559,9.800,"Christian X's Vej, Viby J",Lejlighed / 3 vær. / 88 m2
1684829184-560,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 52 m2
1684829184-561,9.495,"Niels, Aarhus N",Lejlighed / 2 vær. / 70 m2
1684829184-562,9.250,"Bifrostgade, Åbyhøj",Lejlighed / 1 vær. / 71 m2
1684829184-563,8.095,"Møllehatten, Risskov",Lejlighed / 2 vær. / 68 m2
1684829184-564,6.700,"Vester Allé, Aarhus C",Lejlighed / 1 vær. / 50 m2
1684829184-565,5.800,"Arresøvej, Risskov",Lejlighed / 1 vær. / 40 m2
1684829184-566,5.200,"Kongevellen, Risskov",Lejlighed / 1 vær. / 34 m2
1684829184-567,8.495,"Tage-Hansens Gade, Aarhus C",Lejlighed / 2 vær. / 56 m2
