web-scraper-order,pagination,price,address,rooms_type_kvm
1681720076-1051,,7.795 kr.,"Aarhus N, Willemoesgade",2 vær. · Lejlighed · 58 m²
1681720076-1052,,8.795 kr.,"Aarhus V, Paludan Müllers Vej",3 vær. · Lejlighed · 81 m²
1681720076-1053,,13.750 kr.,"Højbjerg, Emiliedalen",3 vær. · Rækkehus · 121 m²
1681720076-1054,,7.995 kr.,"Risskov, Borresøvej",2 vær. · Lejlighed · 74 m²
1681720076-1055,,4.500 kr.,"Aarhus C, Hedemannsgade",1 vær. · Værelse · 20 m²
1681720076-1056,,4.071 kr.,"Aarhus C, Ceresbyen",1 vær. · Værelse · 9 m²
1681720076-1057,,9.500 kr.,"Risskov, Vikærsvej",2 vær. · Lejlighed · 75 m²
1681720076-1058,,8.800 kr.,"Risskov, Tranekærvej",2 vær. · Lejlighed · 76 m²
1681720076-1059,,17.000 kr.,"Aarhus N, Gøteborg Allé",5 vær. · Lejlighed · 119 m²
1681720076-1060,,7.500 kr.,"Aarhus C, Teglværksgade",2 vær. · Lejlighed · 68 m²
1681720076-1061,,7.500 kr.,"Aarhus V, Ryhavevej",2 vær. · Lejlighed · 64 m²
1681720076-1062,,9.025 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 71 m²
1681720076-1063,,11.000 kr.,"Aarhus C, Ewaldsgade",3 vær. · Lejlighed · 89 m²
1681720076-1064,,7.990 kr.,"Aarhus V, Viborgvej",3 vær. · Lejlighed · 86 m²
1681720076-1065,,15.100 kr.,"Aarhus C, Borggade",4 vær. · Lejlighed · 116 m²
1681720076-1066,,7.600 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 73 m²
1681720076-1067,,9.200 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 70 m²
1681720076-1068,,14.500 kr.,"Aarhus C, Borggade",4 vær. · Lejlighed · 107 m²
1681720076-1069,,5.390 kr.,"Aarhus V, Herredsvej",1 vær. · Lejlighed · 50 m²
1681720076-1070,,14.000 kr.,"Risskov, Ålykkevej",5 vær. · Hus · 140 m²
1681720076-1071,,10.500 kr.,"Solbjerg, Hasselringen",4 vær. · Hus · 108 m²
1681720076-1072,,7.995 kr.,"Aarhus C, Møllevejen",2 vær. · Lejlighed · 51 m²
