web-scraper-order,web-scraper-start-url,pagination,price,address,rooms_type_kvm
1681720076-961,https://www.boligportal.dk/lejeboliger/aarhus/,,7.299 kr.,"Aarhus C, Ceres Allé",1 vær. · Lejlighed · 56 m²
1681720076-962,https://www.boligportal.dk/lejeboliger/aarhus/,,7.500 kr.,"Aarhus C, Ceres Allé",1 vær. · Lejlighed · 71 m²
1681720076-963,https://www.boligportal.dk/lejeboliger/aarhus/,,13.500 kr.,"Aarhus C, Sonnesgade",4 vær. · Lejlighed · 86 m²
1681720076-964,https://www.boligportal.dk/lejeboliger/aarhus/,,8.098 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 63 m²
1681720076-965,https://www.boligportal.dk/lejeboliger/aarhus/,,10.499 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 90 m²
1681720076-966,https://www.boligportal.dk/lejeboliger/aarhus/,,8.185 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 67 m²
1681720076-967,https://www.boligportal.dk/lejeboliger/aarhus/,,11.295 kr.,"Risskov, Brassøvej",4 vær. · Lejlighed · 99 m²
1681720076-968,https://www.boligportal.dk/lejeboliger/aarhus/,,8.625 kr.,"Risskov, Brassøvej",3 vær. · Lejlighed · 77 m²
1681720076-969,https://www.boligportal.dk/lejeboliger/aarhus/,,9.300 kr.,"Aarhus C, Thunøgade",2 vær. · Lejlighed · 69 m²
1681720076-970,https://www.boligportal.dk/lejeboliger/aarhus/,,9.395 kr.,"Aarhus C, Carl Blochs Gade",3 vær. · Lejlighed · 78 m²
1681720076-971,https://www.boligportal.dk/lejeboliger/aarhus/,,5.350 kr.,"Tilst, Pollenvænget",2 vær. · Lejlighed · 39 m²
1681720076-972,https://www.boligportal.dk/lejeboliger/aarhus/,,5.000 kr.,"Aarhus C, Grønnegade",1 vær. · Værelse · 24 m²
1681720076-973,https://www.boligportal.dk/lejeboliger/aarhus/,,13.104 kr.,"Aarhus C, Fynsgade",3 vær. · Lejlighed · 100 m²
1681720076-974,https://www.boligportal.dk/lejeboliger/aarhus/,,4.900 kr.,"Aarhus N, Jens Baggesens Vej",1 vær. · Lejlighed · 36 m²
1681720076-975,https://www.boligportal.dk/lejeboliger/aarhus/,,7.089 kr.,"Risskov, Tretommervej",2 vær. · Lejlighed · 51 m²
1681720076-976,https://www.boligportal.dk/lejeboliger/aarhus/,,8.112 kr.,"Aarhus N, Solsikkevænget",2 vær. · Lejlighed · 64 m²
1681720076-977,https://www.boligportal.dk/lejeboliger/aarhus/,,6.995 kr.,"Brabrand, Elna Munchs Gade",2 vær. · Lejlighed · 57 m²
1681720076-978,https://www.boligportal.dk/lejeboliger/aarhus/,,4.795 kr.,"Aarhus N, Kalmargade",1 vær. · Lejlighed · 43 m²
1681720076-979,https://www.boligportal.dk/lejeboliger/aarhus/,,10.825 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 79 m²
1681720076-980,https://www.boligportal.dk/lejeboliger/aarhus/,,15.995 kr.,"Højbjerg, Emiliedalen",5 vær. · Rækkehus · 128 m²
1681720076-981,https://www.boligportal.dk/lejeboliger/aarhus/,,3.102 kr.,"Brabrand, Karen Blixens Boulevard",1 vær. · Værelse · 35 m²
1681720076-982,https://www.boligportal.dk/lejeboliger/aarhus/,,2.806 kr.,"Aarhus V, Bronzealdervænget",1 vær. · Lejlighed · 33 m²
1681720076-983,https://www.boligportal.dk/lejeboliger/aarhus/,,8.795 kr.,"Brabrand, Emma Gads Gade",4 vær. · Lejlighed · 93 m²
1681720076-984,https://www.boligportal.dk/lejeboliger/aarhus/,,8.495 kr.,"Brabrand, Gudrunsvej",3 vær. · Lejlighed · 86 m²
1681720076-985,https://www.boligportal.dk/lejeboliger/aarhus/,,9.400 kr.,"Aarhus C, Ceresbyen",3 vær. · Lejlighed · 64 m²
1681720076-986,https://www.boligportal.dk/lejeboliger/aarhus/,,12.917 kr.,"Aarhus C, Marselis Boulevard",4 vær. · Lejlighed · 122 m²
1681720076-987,https://www.boligportal.dk/lejeboliger/aarhus/,,6.600 kr.,"Sabro, Graven",3 vær. · Rækkehus · 85 m²
1681720076-988,https://www.boligportal.dk/lejeboliger/aarhus/,,6.600 kr.,"Trige, gammellandevej",4 vær. · Lejlighed · 90 m²
1681720076-989,https://www.boligportal.dk/lejeboliger/aarhus/,,5.501 kr.,"Aarhus C, Nordborggade",1 vær. · Lejlighed · 42 m²
1681720076-990,https://www.boligportal.dk/lejeboliger/aarhus/,,8.995 kr.,"Aarhus C, Skovvejen",2 vær. · Lejlighed · 62 m²
1681720076-991,https://www.boligportal.dk/lejeboliger/aarhus/,,8.800 kr.,"Aarhus C, Skovvejen",2 vær. · Lejlighed · 46 m²
1681720076-992,https://www.boligportal.dk/lejeboliger/aarhus/,,6.200 kr.,"Trige, Spørring Kirkevej",2 vær. · Lejlighed · 70 m²
1681720076-993,https://www.boligportal.dk/lejeboliger/aarhus/,,13.100 kr.,"Aarhus C, Thit Jensens Gade",4 vær. · Lejlighed · 96 m²
1681720076-994,https://www.boligportal.dk/lejeboliger/aarhus/,,7.200 kr.,"Aarhus C, De Mezas Vej",1 vær. · Lejlighed · 55 m²
1681720076-995,https://www.boligportal.dk/lejeboliger/aarhus/,,8.200 kr.,"Aarhus C, Finderupvej",2 vær. · Lejlighed · 61 m²
1681720076-996,https://www.boligportal.dk/lejeboliger/aarhus/,,13.300 kr.,"Aarhus C, Fiskergade",4 vær. · Lejlighed · 102 m²
1681720076-997,https://www.boligportal.dk/lejeboliger/aarhus/,,8.195 kr.,"Risskov, Skejbygårdsvej",3 vær. · Lejlighed · 64 m²
1681720076-998,https://www.boligportal.dk/lejeboliger/aarhus/,,5.995 kr.,"Risskov, Skejbygårdsvej",1 vær. · Lejlighed · 39 m²
1681720076-999,https://www.boligportal.dk/lejeboliger/aarhus/,,7.995 kr.,"Risskov, Skejbygårdsvej",3 vær. · Lejlighed · 60 m²
1681720076-1000,https://www.boligportal.dk/lejeboliger/aarhus/,,7.995 kr.,"Risskov, Skejbygårdsvej",2 vær. · Lejlighed · 61 m²
1681720076-1001,https://www.boligportal.dk/lejeboliger/aarhus/,,6.195 kr.,"Risskov, Skejbygårdsvej",2 vær. · Lejlighed · 39 m²
1681720076-1002,https://www.boligportal.dk/lejeboliger/aarhus/,,8.798 kr.,"Brabrand, Inger Christensens Gade",4 vær. · Lejlighed · 86 m²
1681720076-1003,https://www.boligportal.dk/lejeboliger/aarhus/,,10.900 kr.,"Aarhus C, Vestergade",2 vær. · Lejlighed · 75 m²
1681720076-1004,https://www.boligportal.dk/lejeboliger/aarhus/,,8.200 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 42 m²
1681720076-1005,https://www.boligportal.dk/lejeboliger/aarhus/,,5.950 kr.,"Aarhus V, Bronzealdervænget",2 vær. · Lejlighed · 41 m²
1681720076-1006,https://www.boligportal.dk/lejeboliger/aarhus/,,15.000 kr.,"Aarhus N, Gøteborg Allé",3 vær. · Lejlighed · 94 m²
1681720076-1007,https://www.boligportal.dk/lejeboliger/aarhus/,,10.000 kr.,"Aarhus N, Gøteborg Allé",2 vær. · Lejlighed · 56 m²
1681720076-1008,https://www.boligportal.dk/lejeboliger/aarhus/,,10.675 kr.,"Aarhus N, Skovvangsvej",3 vær. · Lejlighed · 69 m²
1681720076-1009,https://www.boligportal.dk/lejeboliger/aarhus/,,9.950 kr.,"Aarhus C, Dalgas Avenue",3 vær. · Lejlighed · 58 m²
1681720076-1010,https://www.boligportal.dk/lejeboliger/aarhus/,,12.050 kr.,"Hinnerup, Skovmårvej",4 vær. · Rækkehus · 120 m²
1681720076-1011,https://www.boligportal.dk/lejeboliger/aarhus/,,7.800 kr.,"Aarhus C, Grønnegade",2 vær. · Lejlighed · 55 m²
1681720076-1012,https://www.boligportal.dk/lejeboliger/aarhus/,,9.750 kr.,"Aarhus C, Helle Virkners Plads",3 vær. · Lejlighed · 67 m²
1681720076-1013,https://www.boligportal.dk/lejeboliger/aarhus/,,5.860 kr.,"Brabrand, Kirsten Holsts Gade",2 vær. · Lejlighed · 48 m²
1681720076-1014,https://www.boligportal.dk/lejeboliger/aarhus/,,5.740 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 47 m²
1681720076-1015,https://www.boligportal.dk/lejeboliger/aarhus/,,9.595 kr.,"Risskov, Forteledet",3 vær. · Lejlighed · 77 m²
1681720076-1016,https://www.boligportal.dk/lejeboliger/aarhus/,,7.495 kr.,"Risskov, Borresøvej",2 vær. · Lejlighed · 58 m²
1681720076-1017,https://www.boligportal.dk/lejeboliger/aarhus/,,8.695 kr.,"Højbjerg, Oddervej",2 vær. · Lejlighed · 69 m²
1681720076-1018,https://www.boligportal.dk/lejeboliger/aarhus/,,9.995 kr.,"Viby J, Holme Møllevej",3 vær. · Lejlighed · 87 m²
1681720076-1019,https://www.boligportal.dk/lejeboliger/aarhus/,,12.095 kr.,"Aarhus C, Ålborggade",3 vær. · Lejlighed · 89 m²
1681720076-1020,https://www.boligportal.dk/lejeboliger/aarhus/,,9.550 kr.,"Viby J, Holme Møllevej",3 vær. · Lejlighed · 83 m²
1681720076-1021,https://www.boligportal.dk/lejeboliger/aarhus/,,8.795 kr.,"Viby J, Viby Torv",2 vær. · Lejlighed · 77 m²
1681720076-1022,https://www.boligportal.dk/lejeboliger/aarhus/,,16.095 kr.,"Aarhus C, Østergade",3 vær. · Lejlighed · 106 m²
1681720076-1023,https://www.boligportal.dk/lejeboliger/aarhus/,,11.395 kr.,"Viby J, Viby Torv",4 vær. · Lejlighed · 101 m²
1681720076-1024,https://www.boligportal.dk/lejeboliger/aarhus/,,11.250 kr.,"Aarhus N, Langelandsgade",4 vær. · Lejlighed · 87 m²
1681720076-1025,https://www.boligportal.dk/lejeboliger/aarhus/,,13.295 kr.,"Aarhus C, Sdr. Ringgade",3 vær. · Lejlighed · 98 m²
1681720076-1026,https://www.boligportal.dk/lejeboliger/aarhus/,,9.750 kr.,"Aarhus C, Sdr. Ringgade",2 vær. · Lejlighed · 72 m²
1681720076-1027,https://www.boligportal.dk/lejeboliger/aarhus/,,11.595 kr.,"Viby J, Holme Møllevej",4 vær. · Lejlighed · 101 m²
1681720076-1028,https://www.boligportal.dk/lejeboliger/aarhus/,,5.620 kr.,"Brabrand, Gudrunsvej",2 vær. · Lejlighed · 48 m²
1681720076-1029,https://www.boligportal.dk/lejeboliger/aarhus/,,8.250 kr.,"Aarhus C, Dalgas Avenue",1 vær. · Lejlighed · 45 m²
1681720076-1030,https://www.boligportal.dk/lejeboliger/aarhus/,,7.650 kr.,"Aarhus N, Trøjborgvej",2 vær. · Lejlighed · 46 m²
1681720076-1031,https://www.boligportal.dk/lejeboliger/aarhus/,,6.338 kr.,"Aarhus C, Åboulevarden",1 vær. · Lejlighed · 39 m²
1681720076-1032,https://www.boligportal.dk/lejeboliger/aarhus/,,7.600 kr.,"Viby J, Onsholtvej",3 vær. · Lejlighed · 76 m²
1681720076-1033,https://www.boligportal.dk/lejeboliger/aarhus/,,7.745 kr.,"Aarhus N, Vistihøjen",2 vær. · Lejlighed · 69 m²
1681720076-1034,https://www.boligportal.dk/lejeboliger/aarhus/,,7.750 kr.,"Aarhus N, Olof Palmes Allé",2 vær. · Lejlighed · 62 m²
1681720076-1035,https://www.boligportal.dk/lejeboliger/aarhus/,,8.595 kr.,"Aarhus N, Vistihøjen",3 vær. · Lejlighed · 76 m²
1681720076-1036,https://www.boligportal.dk/lejeboliger/aarhus/,,12.532 kr.,"Mårslet, Nymarks Alle",4 vær. · Rækkehus · 111 m²
1681720076-1037,https://www.boligportal.dk/lejeboliger/aarhus/,,8.000 kr.,"Aarhus C, Åboulevarden",1 vær. · Lejlighed · 54 m²
1681720076-1038,https://www.boligportal.dk/lejeboliger/aarhus/,,10.900 kr.,"Aarhus C, Montanagade",3 vær. · Lejlighed · 73 m²
1681720076-1039,https://www.boligportal.dk/lejeboliger/aarhus/,,8.000 kr.,"Aarhus C, Eckersbergsgade",2 vær. · Lejlighed · 63 m²
